reg,name,section
2021-CS-001,Kimberly Black,A
2021-CS-002,Vanessa Campbell,B
2021-CS-003,Amber Rodriguez,B
2021-CS-004,Eric Bowen,C
2021-CS-005,Janet Ramos,C
2021-CS-006,Adrian Johnston,A
2021-CS-007,Deborah Skinner,D
2021-CS-008,Christina Anderson,D
2021-CS-009,Lisa Wiley,C
2021-CS-010,Patricia Hansen,A
2021-CS-011,Amber Anderson,B
2021-CS-012,Stephanie Robinson,B
2021-CS-013,Tracy Escobar,A
2021-CS-014,Philip Reynolds,A
2021-CS-015,Kristen Reynolds,B
2021-CS-016,Christopher Lara,A
2021-CS-017,Ralph Nguyen,B
2021-CS-018,Adam Smith,D
2021-CS-019,Stephen Sanders,B
2021-CS-020,Nicole Mullins,C
2021-CS-021,Richard Long,A
2021-CS-022,Gabrielle Cole,B
2021-CS-023,Tonya Cherry,D
2021-CS-024,Crystal Brock,C
2021-CS-025,David Jordan,A
2021-CS-026,Joyce Townsend,A
2021-CS-027,Rachel Sims,C
2021-CS-028,Michael Colon,C
2021-CS-029,Regina Huffman,C
2021-CS-030,Samuel Cameron,A
2021-CS-031,Carlos White,C
2021-CS-032,Mrs. Ashley Terrell,B
2021-CS-033,Sherry Jones,D
2021-CS-034,Justin Smith,C
2021-CS-035,Kevin Garcia,C
2021-CS-036,Melanie Reeves,A
2021-CS-037,Tyler Brewer,C
2021-CS-038,Pamela Johnson,A
2021-CS-039,Destiny Phillips,A
2021-CS-040,Mr. Jacob Campbell,B
2021-CS-041,Paul Spears,B
2021-CS-042,Darlene Alvarado,D
2021-CS-043,Michael Gonzales,B
2021-CS-044,David Clayton,A
2021-CS-045,Roberto White,A
2021-CS-046,David Gutierrez,A
2021-CS-047,Thomas Aguirre,C
2021-CS-048,David Duran,D
2021-CS-049,Clayton Mccoy,B
2021-CS-050,David Wilson,A
2021-CS-051,Amanda Lee,A
2021-CS-052,Jason Charles,A
2021-CS-053,Alicia Rodriguez,B
2021-CS-054,Bobby Morgan,D
2021-CS-055,Andrew Gray,C
2021-CS-056,Kaitlyn Daniels,B
2021-CS-057,Patrick Cobb,B
2021-CS-058,Beth Herman,A
2021-CS-059,William Melton,C
2021-CS-060,Melanie Howard,A
2021-CS-061,Alan Hughes,B
2021-CS-062,Lisa Burns,D
2021-CS-063,Ethan Howard,B
2021-CS-064,Paige Adams,B
2021-CS-065,April Flores,B
2021-CS-066,William Lowery,A
2021-CS-067,Peter Thompson,B
2021-CS-068,Jason Cross,A
2021-CS-069,Kimberly Booth,C
2021-CS-070,Jon Phillips,C
2021-CS-071,Jessica Buchanan,C
2021-CS-072,Jonathan Ramsey,C
2021-CS-073,Breanna Gomez,A
2021-CS-074,Cody Morgan,A
2021-CS-075,Stanley King,B
2021-CS-076,Paige Mccormick,A
2021-CS-077,Tammy Brewer,C
2021-CS-078,Keith Campos,B
2021-CS-079,Cynthia Riley,C
2021-CS-080,Candace Nicholson,A
2021-CS-081,Julian Lee,D
2021-CS-082,Jorge Bowen,C
2021-CS-083,Cheryl Chandler,A
2021-CS-084,Ashlee Jenkins,C
2021-CS-085,Andrew Landry,A
2021-CS-086,Julie Knight,B
2021-CS-087,William Jackson,B
2021-CS-088,Dr. Patrick Robinson,C
2021-CS-089,Mike Rodriguez,D
2021-CS-090,Leah Walters,A
2021-CS-091,Kevin Gutierrez,D
2021-CS-092,Jennifer Lawrence,C
2021-CS-093,Daniel Silva,B
2021-CS-094,Jacob Martin,B
2021-CS-095,David Brock,A
2021-CS-096,Nicholas Peterson,C
2021-CS-097,Lisa Stephens,A
2021-CS-098,Christopher Fritz,A
2021-CS-099,Kiara Williamson,D
2021-CS-100,Christopher Christensen,D
2021-CS-101,Lindsey Odom,C
2021-CS-102,Alexandra Love,D
2021-CS-103,John Wallace,B
2021-CS-104,Adrienne Robinson,B
2021-CS-105,Sherry Crosby,C
2021-CS-106,Nicole Morales,C
2021-CS-107,Nathan Burke,C
2021-CS-108,Hannah Burnett,D
2021-CS-109,Michael Smith,D
2021-CS-110,Brett Cabrera,C
2021-CS-111,Linda Ramos,D
2021-CS-112,Jeffrey Miller,A
2021-CS-113,Christy Taylor,C
2021-CS-114,Jason Wright,A
2021-CS-115,Stephanie Weber,A
2021-CS-116,Jennifer Hogan,D
2021-CS-117,Michael Frank,B
2021-CS-118,Steven Gomez,D
2021-CS-119,John Kelly Jr.,A
2021-CS-120,David Smith,D
2021-CS-121,Jessica Ward,D
2021-CS-122,Gary Knight,C
2021-CS-123,Marcus Jones,C
2021-CS-124,Tara Mueller,A
2021-CS-125,Stephen Allison,B
2021-CS-126,Diana Davis,A
2021-CS-127,Christina Ramos,C
2021-CS-128,Madison Wood,A
2021-CS-129,Edward Miller,C
2021-CS-130,Brenda Griffin,A
2021-CS-131,Jonathan Bright,D
2021-CS-132,Stephanie Jenkins,C
2021-CS-133,Thomas English,C
2021-CS-134,William Parker,A
2021-CS-135,Brian Rice,A
2021-CS-136,Victoria Fernandez,B
2021-CS-137,Thomas Lara,B
2021-CS-138,Benjamin Green,B
2021-CS-139,Xavier Alvarez,B
2021-CS-140,Kevin Key,C
2021-CS-141,Chelsea Mccullough,A
2021-CS-142,Danielle Hanson,D
2021-CS-143,Jeffrey Scott,D
2021-CS-144,Sandra Sanchez,C
2021-CS-145,Christopher Shaffer,B
2021-CS-146,Douglas Romero,A
2021-CS-147,Matthew Rodriguez,C
2021-CS-148,Justin Morales,C
2021-CS-149,Terry Campos,D
2021-CS-150,Brandon Lewis,C
2021-CS-151,Jonathan Martinez,D
2021-CS-152,Elizabeth Chapman,D
2021-CS-153,Tommy Gonzales,A
2021-CS-154,Pedro Cannon,B
2021-CS-155,James Boone,D
2021-CS-156,Charles Grant,B
2021-CS-157,Donald Mcclure,D
2021-CS-158,Ashley Shelton,B
2021-CS-159,David Knapp,B
2021-CS-160,Michele Robinson,B
2021-CS-161,Joyce Walters,B
